DT_REFER;DENOM_CIA;Ativo Circulante;Ativo Não Circulante;Ativo Total;Passivo Circulante;Passivo Não Circulante;Passivo Total;Patrimônio Líquido Consolidado;passivo
2011-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;224455.0;275389.0;499844.0;94300.0;29954.0;499844.0;375590.0;124254.0
2011-12-31;UNIPAR CARBOCLORO S.A.;500073.0;389749.0;889822.0;237197.0;271332.0;889822.0;381293.0;508529.0
2011-12-31;VALE S.A.;42095216.0;199687896.0;241783112.0;22225074.0;72867671.0;241783112.0;146690367.0;95092745.0
2011-12-31;VALID SOLUÇÕES S.A.;467293.0;448308.0;915601.0;222944.0;189347.0;915601.0;503310.0;412291.0
2011-12-31;VIX LOGÍSTICA S/A;201823.0;474345.0;676168.0;110190.0;394183.0;676168.0;171795.0;504373.0
2011-12-31;VULCABRAS S.A.;840831.0;705689.0;1546520.0;659924.0;673566.0;1546520.0;213030.0;1333490.0
2011-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;290390.0;271216.0;561606.0;65469.0;31046.0;561606.0;465091.0;96515.0
2011-12-31;YDUQS PARTICIPACOES S.A.;492239.0;576479.0;1068718.0;134668.0;315115.0;1068718.0;618935.0;449783.0
2012-03-31;COSAN S.A.;4715135.0;17409000.0;22124135.0;2077938.0;10429823.0;22124135.0;9616374.0;12507761.0
2012-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;736779.0;3332902.0;4069681.0;276021.0;1116418.0;4069681.0;2677242.0;1392439.0
2012-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;364736.0;440564.0;805300.0;127582.0;171451.0;805300.0;506267.0;299033.0
2012-12-31;ALUPAR INVESTIMENTO S/A;1864685.0;5591370.0;7456055.0;1137513.0;3244278.0;7456055.0;3074264.0;4381791.0
2012-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;3536282.0;20610832.0;24147114.0;1660609.0;3072623.0;24147114.0;19413882.0;4733232.0
2012-12-31;BB SEGURIDADE PARTICIPAÇÕES S.A.;1901306.0;5391305.0;7292611.0;1384583.0;269654.0;7292611.0;5638374.0;1654237.0
2012-12-31;BR PROPERTIES S.A.;940535.0;14459006.0;15399541.0;837361.0;6546913.0;15399541.0;8015267.0;7384274.0
2012-12-31;BRASKEM S.A.;12692327.0;28471251.0;41163578.0;12656627.0;19843151.0;41163578.0;8663800.0;32499778.0
2012-12-31;BRF S.A.;11589980.0;19182268.0;30772248.0;7464218.0;8731990.0;30772248.0;14576040.0;16196208.0
2012-12-31;CCR S.A.;1603684.0;12702142.0;14305826.0;3743691.0;7199803.0;14305826.0;3362332.0;10943494.0
2012-12-31;CIA SIDERURGICA NACIONAL;21121945.0;28173283.0;49295228.0;6408076.0;33879639.0;49295228.0;9007513.0;40287715.0
2012-12-31;CIA TECIDOS SANTANENSE;168026.0;156848.0;324874.0;41406.0;38437.0;324874.0;245031.0;79843.0
2012-12-31;COGNA EDUCAÇÃO S.A.;540543.0;3243377.0;3783920.0;368557.0;1169159.0;3783920.0;2246204.0;1537716.0
2012-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;24100.0;4843.0;28943.0;18074.0;16687.0;28943.0;-5818.0;34761.0
2012-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;888206.0;7918457.0;8806663.0;937302.0;4568244.0;8806663.0;3301117.0;5505546.0
2012-12-31;DOHLER S.A.;255392.0;297054.0;552446.0;67472.0;73532.0;552446.0;411442.0;141004.0
2012-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;1309781.0;4886175.0;6195956.0;1434436.0;2636033.0;6195956.0;2125487.0;4070469.0
2012-12-31;EMBPAR PARTICIPAÇÕES S/A;188207.0;308129.0;496336.0;235741.0;325909.0;496336.0;-65314.0;561650.0
2012-12-31;EMBRAER S.A.;10965068.0;8428599.0;19393667.0;5705973.0;6841212.0;19393667.0;6846482.0;12547185.0
2012-12-31;ENAUTA PARTICIPAÇÕES S.A.;1100063.0;1333979.0;2434042.0;89783.0;116462.0;2434042.0;2227797.0;206245.0
2012-12-31;ENGIE BRASIL ENERGIA S.A.;1985305.0;10279111.0;12264416.0;1690673.0;5110903.0;12264416.0;5462840.0;6801576.0
2012-12-31;GERDAU S.A.;16410397.0;36682761.0;53093158.0;7823182.0;16472059.0;53093158.0;28797917.0;24295241.0
2012-12-31;HIDROVIAS DO BRASIL S.A.;161640.0;70997.0;232637.0;5887.0;246.0;232637.0;226504.0;6133.0
2012-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;56349.0;461551.0;517900.0;186832.0;496935.0;517900.0;-165867.0;683767.0
2012-12-31;IGUA SANEAMENTO S.A.;217706.0;833119.0;1050825.0;403925.0;406011.0;1050825.0;240889.0;809936.0
2012-12-31;JSL S.A.;1378852.0;3190087.0;4568939.0;1122146.0;2496872.0;4568939.0;949921.0;3619018.0
2012-12-31;KLABIN S.A.;4432090.0;9665813.0;14097903.0;1767389.0;6909593.0;14097903.0;5420921.0;8676982.0
2012-12-31;MANGELS INDUSTRIAL S.A.;353532.0;323467.0;676999.0;303217.0;346581.0;676999.0;27201.0;649798.0
2012-12-31;MOURA DUBEUX ENGENHARIA S/A;1369558.0;813927.0;2183485.0;698500.0;1020447.0;2183485.0;464538.0;1718947.0
2012-12-31;OSX BRASIL S.A.;2177935.0;7621783.0;9799718.0;3051961.0;3414979.0;9799718.0;3332778.0;6466940.0
2012-12-31;PADTEC HOLDING S.A.;690296.0;176306.0;866602.0;656285.0;114096.0;866602.0;96221.0;770381.0
2012-12-31;PBG S/A;328230.0;367091.0;695321.0;295375.0;272819.0;695321.0;127127.0;568194.0
2012-12-31;PETRO RIO S.A.;982930.0;3273538.0;4256468.0;164006.0;433085.0;4256468.0;3659377.0;597091.0
2012-12-31;POSITIVO TECNOLOGIA S.A.;1464158.0;351274.0;1815432.0;1057496.0;117904.0;1815432.0;640032.0;1175400.0
2012-12-31;RAIA DROGASIL S.A.;1693864.0;1646322.0;3340186.0;863276.0;212251.0;3340186.0;2264659.0;1075527.0
2012-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;196972.0;2626171.0;2823143.0;1974248.0;1373996.0;2823143.0;-525101.0;3348244.0
2012-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;1331156.0;411998.0;1743154.0;552613.0;413944.0;1743154.0;776597.0;966557.0
2012-12-31;RUMO S.A.;3675265.0;13977152.0;17652417.0;2481753.0;10894242.0;17652417.0;4276422.0;13375995.0
2012-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;964371.0;370570.0;1334941.0;552482.0;266518.0;1334941.0;515941.0;819000.0
2012-12-31;SER EDUCACIONAL S.A.;74055.0;305236.0;379291.0;86131.0;99962.0;379291.0;193198.0;186093.0
2012-12-31;SUZANO HOLDING S.A.;6760842.0;18933776.0;25694618.0;2891962.0;12584659.0;25694618.0;10217997.0;15476621.0
2012-12-31;SUZANO S.A.;6686959.0;18666478.0;25353437.0;2855860.0;11495499.0;25353437.0;11002078.0;14351359.0
2012-12-31;TAURUS ARMAS S.A.;702275.0;412029.0;1114304.0;638513.0;274011.0;1114304.0;201780.0;912524.0
2012-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;3783993.0;5852371.0;9636364.0;652923.0;4886198.0;9636364.0;4097243.0;5539121.0
2012-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;357528.0;250985.0;608513.0;154433.0;41705.0;608513.0;412375.0;196138.0
